STORE;STORENAME;STORETYPE;CIUDAD;LOGISTICCENTER;Nombre
9999;Tienda prueba;FARMACIA;;;
1229;SUP. USAQUEN;SUPERMERCADO;BOGOTA;S011;Supermercado Usaquen
1249;SUP. FUSAGASUGA;SUPERMERCADO;FUSAGASUGA;S015;Supermercado Fusagasuga
1250;SUP. TIERRAGRATA;SUPERMERCADO;;S029;Supermercado Tierragrata
1251;SUP. UNICENTRO;SUPERMERCADO;;S030;Supermercado Unicentro Occidente
1252;SUP. CAJICA;SUPERMERCADO;;S031;Supermercado Cajica
1253;TIENDA BOS. DE ATHAN;TIENDA;;S032;Mini-Mercado Bosques
1263;TIENDA CLINICA;TIENDA;;;
1265;TIENDA PENALISA;TIENDA;;S023;Supermercado Peñalisa
1267;TIENDA LANCEROS;TIENDA;;;
1268;TIENDA PISCILAGO;TIENDA;;S026;Mini-Mercado Piscilago
1350;FARM. CALLE 114;FARMACIA;;;
1353;FARM. NIZA;FARMACIA;;D022;
1357;FARM. STA BARBARA;FARMACIA;;;
1358;FARM. SOLEDAD;FARMACIA;;D019;
1359;FARM. SHOW PLACE;FARMACIA;;;
1369;FARM. CALLE 184;FARMACIA;;;
1382;FARM. PTE ARANDA;FARMACIA;;;
1383;FARM. COLINA;FARMACIA;;D053;
1384;SUPERFARM. CHICO;FARMACIA;;;
1385;SUPERFARM. CALLE 127;FARMACIA;;;
1387;FARM. VENECIA;FARMACIA;;D059;
1388;FARM. PABLO VI;FARMACIA;;D061;
1389;FARM. UNISUR;FARMACIA;;;
1390;FARM. CALLE 72;FARMACIA;;;
1391;FARM. CALLE 33;FARMACIA;;;
1392;FARM. CALLE 90;FARMACIA;;;
1393;FARM. CALLE 62;FARMACIA;;;
1394;FARM. SAN PATRICIO;FARMACIA;;;
1395;FARM. CALLE 100;FARMACIA;;D070;
1396;FARM. CHIA;FARMACIA;;D071;
1397;FARM. C.C.SAN PEDRO;FARMACIA;;D072;
1398;FARM. PLAZA AMERICAS;FARMACIA;;D073;
1399;FARM. IBERIA;FARMACIA;;;
1400;FARM. C.C.PLAZA 167;FARMACIA;;;
1401;FARM. ORQUIDEA;FARMACIA;;;
1402;FARM. CALLE 122;FARMACIA;;D077;
1403;FARM. SALITRE PLAZA;FARMACIA;;D078;
1404;FARM. CEN. INTERNAL;FARMACIA;;;
1405;FARM. TUNAL;FARMACIA;;;
1406;FARM. CENTRO;FARMACIA;;D081;
1407;FARM. QUIRIGUA;FARMACIA;;;
1408;FARM. GALERIAS;FARMACIA;;;
1409;FARM. FERIAS;FARMACIA;;;
1410;FARM. GERMANIA;FARMACIA;;;
1411;FARM. CABRERA;FARMACIA;;;
1412;FARM. PLAZA IMPERIAL;FARMACIA;;;
1413;FARM. NUEVO MILENIO;FARMACIA;;;
2100;SUP. STA. LIBRADA;SUPERMERCADO;;S013;Supermercado Santa Librada
2200;SUP. FUNZA;SUPERMERCADO;;S012;Supermercado Funza
2800;SUP. CALLE 26;SUPERMERCADO;BOGOTA;S001;Supermercado Calle 26
3100;SUP. PRI. MAYO;SUPERMERCADO;;S005;Supermercado Primero De Mayo
3300;SUP. CALLE 63;SUPERMERCADO;;S002;Supermercado Calle 63
3500;SUP. PORTAL NORTE;SUPERMERCADO;;S003;Supermercado Portal Norte
3800;SUP. STA. ISABEL;SUPERMERCADO;;S007;Supermercado Santa Isabel
4100;SUP. SUBAZAR;SUPERMERCADO;;S009;Supermercado Subazar
4200;SUPERMERCADO ESPECTADOR;SUPERMERCADO;BOGOTA;S016;Supermercado Espectador
4300;TIENDA PTE ARANDA;TIENDA;;;
4500;SUP. ROMA;SUPERMERCADO;;S004;Supermercado Roma
4800;SUP. RESTREPO;SUPERMERCADO;;S006;Supermercado Restrepo
4900;TIENDA QUIROGA;TIENDA;;S020;Tienda Quiroga
5000;TIENDA TEJAR;TIENDA;;;
5100;MINI_KENNEDY;TIENDA;;;
5300;SUP. COUNTRY;SUPERMERCADO;;S008;Supermercado Country
5500;FARM. QUIROGA;FARMACIA;;;
5810;FARM. AVIANCA;FARMACIA;;;
6310;SUPERFARM. CALLE 67;FARMACIA;;;
6810;FARM. CRUZ ROJA;FARMACIA;;D002;
7200;TIENDA CIUDADELA;TIENDA;;S018;Supermercado Portal Ciudadela
7310;FARM. DORADO;FARMACIA;;;
7500;SUP. GIRARDOT;SUPERMERCADO;;S014;Supermercado Girardot
7700;FARM. A COLON;FARMACIA;;;
7800;PINACOTECA_CALLE_26;FARMACIA;;;
8210;FARM. ALHAMBRA;FARMACIA;;D008;
9631;FARM. PONTEVEDRA;FARMACIA;;;
9660;FARM. FONTIBON;FARMACIA;;D012;
9670;FARM. KENNEDY;FARMACIA;;D007;
9680;FARM. 20 DE JULIO;FARMACIA;;;
1414;FARM. TEUSAQUILLO;FARMACIA;;D092;
1254;SUP. FONTIBON;SUPERMERCADO;;S033;Supermercado Fontibon
1418;FARM. STA.FE;FARMACIA;;;
1344;SUPERMERCADO VILLA PINZON;SUPERMERCADO;BOGOTA;S122;Supermercado Villapinzon
1345;FARM. ALK. AV. 68;FARMACIA;;;
1316;FARM. ALK. VENECIA;FARMACIA;;;
1219;TIENDA CARPA TEMPOR;TIENDA;BOGOTA;;
1420;FARM. VILLAVICENCIO;FARMACIA;;;
1416;FARM. BARRANCA;FARMACIA;;;
1417;FARM. BARRANCA CENTRO;FARMACIA;;;
1423;FARM. PALERMO;FARMACIA;;;
1424;FARM. CAFC CHICO;FARMACIA;;;
1425;FARM. ASOANDES;FARMACIA;;;
1422;FARM. 7 DE AGOSTO;FARMACIA;;;
1426;FARM. STA ANA;FARMACIA;;D107;
1421;FARM. MER. SOACHA;FARMACIA;;;
1427;FARM. HOME. BOGOTA;FARMACIA;;;
1432;FARM. GRAN ESTACION;FARMACIA;;;
1433;FARM. ILARCO;FARMACIA;;;
1430;FARM. HOME. B/QUILLA;FARMACIA;;;
1429;FARM. HOME. PEREIRA;FARMACIA;;;
1428;FARM. HOME. MEDELLIN;FARMACIA;;;
1255;SUP. MESA;SUPERMERCADO;;S034;Supermercado La Mesa
1259;TIENDA BELLAVISTA;TIENDA;;S038;Almacencito Bellavista
1434;FARM. ROSALES;FARMACIA;;;
1435;FARM. PUENTE AEREO;FARMACIA;;;
1260;TIENDA ESC. MERCURIO;TIENDA;;;
7801;PIN. CENT C ;TIENDA;;;
1436;FARM. HOME. CALI;FARMACIA;;;
7802;PIN. CAFE DE LETRAS ;TIENDA;;;
1261;TIENDA JAVERIANA;TIENDA;;S041;Tienda Javeriana
1439;FARM. CENTRO NARINO;FARMACIA;;;
1441;FARM. CEDRO 140;FARMACIA;;;
1437;FARM. COLMOTORES;FARMACIA;;;
1440;FARM. CHIA LA BALSA;FARMACIA;;;
1257;TIENDA BOYACA REAL;TIENDA;;S036;Tienda Boyaca Real
1442;FARM.POBLADO;FARMACIA;;;
1262;SUP. TOCANCIPA;SUPERMERCADO;;S043;Supermercado Tocancipa
1444;FARM.EL BARZAL;FARMACIA;;;
1449;FARM.UNIC.TUNJA;FARMACIA;;;
1443;FARM. MODELIA;FARMACIA;;;
1446;FARM. PLAZ. ROSARIO;FARMACIA;;;
1447;FARM. TERPEL CRR 30;FARMACIA;;;
1445;FARM. OVIEDO MEDELLI;FARMACIA;;;
1448;FARM. CLL 84 B/QUILL;FARMACIA;;;
1269;TIENDA MODELIA;TIENDA;;S045;Tienda Modelia
1271;TIENDA BATAN;TIENDA;;S047;Tienda Batan
1453;FARM. CLL 33 MEDELLI;FARMACIA;;;
1454;FARM. HAYUELOS;FARMACIA;;;
1461;FARM. UBA TUNJA;FARMACIA;;;
1460;FARM. UBA DUITAMA;FARMACIA;;;
1458;FARM. UBA FLORENCIA;FARMACIA;;;
1457;FARM. UBA INTERLAQUE;FARMACIA;;;
1455;FARM. UBA NEIVA;FARMACIA;;;
1456;FARM. UBA IBAGUE;FARMACIA;;;
1264;TIENDA AVENTURA PLAZ;TIENDA;;;
1270;TIENDA VIVENZA CHIA;TIENDA;;S046;Supermercado Vivenza
1464;FARM. ALTAVISTA;FARMACIA;;;
1466;FARM. DIS. AMERICAS;FARMACIA;;;
1467;FARM. DIS. BOSA;FARMACIA;;;
1468;FARM. DIS. SJ DUITAM;FARMACIA;;;
1469;FARM. DIS. STA HELEN;FARMACIA;;;
1470;FARM. DIS. BEL. TUNJ;FARMACIA;;;
1471;FARM. DIS. JUAN XXII;FARMACIA;;;
1472;FARM. DIS. FACATATIV;FARMACIA;;;
1473;FARM. DIS. VILLAVICE;FARMACIA;;;
1474;FARM. DIS. ARMENIA N;FARMACIA;;;
1475;FARM. DIS. ARMENIA S;FARMACIA;;;
1476;DROGUERIA YOPAL MIXTA;DROGUERIA;;;
1477;FARM. DIS. SOGAMOSO;FARMACIA;;;
1478;FARM. DIS. IBAGUE CE;FARMACIA;;;
1479;FARM. DIS. IBAGUE SU;FARMACIA;;;
1480;FARM. DIS. GUADUAS;FARMACIA;;;
1481;FARM. DIS. VILLETA;FARMACIA;;;
1483;FARM. DIS. RICAURTE;FARMACIA;;;
1484;FARM. DIS. TEUSAQUIL;FARMACIA;;;
1485;FARM. DIS. ARAUCA;FARMACIA;;;
1486;FARM. DIS. ESPINAL;FARMACIA;;;
1487;FARM. DIS. GUAYABAL;FARMACIA;;;
1272;TIENDA CHICO;TIENDA;;;
1489;FARM. DISP. CENTRAL;FARMACIA;;;
1520;FARM. HOSP. BARRANCA;FARMACIA;;;
1521;DISP. ACUEDUCTO;FARMACIA;;;
1462;DISP. STA LUCIA;FARMACIA;;;
1463;DISP. CIUD. BOLIVAR;FARMACIA;;;
1524;DISP. BARRIOS UNIDOS;FARMACIA;;;
1523;DISP. ENVIGADO;FARMACIA;;;
1451;FARM. BULEVAR NIZA;FARMACIA;;;
1274;TIENDA PONTEVEDRA;TIENDA;;S050;Tienda Pontevedra
1273;TIENDA CALLE 93;TIENDA;;S049;Tienda Calle 93
1488;DISP. SOACHA;FARMACIA;;;
1525;DESP.DOMICILIOS SUR;FARMACIA;;;
1526;DESP.DOMICILIOS NTE;FARMACIA;;;
1527;DESP.DOMICILIOS OCC;FARMACIA;;;
1528;DESP.DOMICILIOS CHAP;FARMACIA;;;
1275;TIENDA CABRERA;TIENDA;;S051;Tienda La Cabrera
1530;DISP.FONTIBON;FARMACIA;;;
7803;CASA CULTURA MUSEO;TIENDA;;;
1276;SUP. SOACHA;SUPERMERCADO;;S052;Supermercado Soacha
1277;SUP. VILLETA;SUPERMERCADO;;S054;Supermercado Villeta
1544;DISP. QUIROGA;FARMACIA;;;
1542;FARM. CHAPINERO;FARMACIA;;;
1543;FARM. EL BOSQUE;FARMACIA;;;
1546;FARM. ROOSEVELT;FARMACIA;;D274;
1278;SUP. UBATE;SUPERMERCADO;;S055;Supermercado Ubate
1547;FARM. LAS PALMAS;FARMACIA;;D275;
1280;TIENDA CHAPINERO;TIENDA;;;
1548;DROGUERIA MIXTA VERSALLES;DROGUERIA;CALI;D277;
1519;FARM. UBA ORQUIDEAS;FARMACIA;;;
1281;TIENDA CIUD. SALITRE;TIENDA;;S058;Tienda Salitre
1282;TIENDA CANCEROLOGICO;TIENDA;;;
1279;SUP. SUBA TIBABUYES;SUPERMERCADO;;S056;Supermercado Suba Tibabuyes
1518;FARM. UBA CHIA;FARMACIA;;;
1283;TIENDA CALLE 95;TIENDA;;;
7001;FARM. ECOMM. 6310;FARMACIA;;;
7002;FARM. ECOMM. 6810;FARMACIA;;;
7003;FARM. ECOMM. 8310;FARMACIA;;;
7004;FARM. ECOMM. 7200;FARMACIA;;;
7005;FARM. ECOMM. 1383;FARMACIA;;;
7006;FARM. ECOMM. 1431;FARMACIA;;;
1517;DISP. UBA QUIRIGUA;FARMACIA;;;
1549;DISP. BIOMAB;FARMACIA;;;
1284;SUP. VILLA ALSACIA;SUPERMERCADO;;S061;Supermercado Villa Alsacia
7007;FARM. ECOMM. 1287;FARMACIA;;;
1551;DISP. GIRARDOT;FARMACIA;;;
1554;D_MIXTA_TOBERIN;DROGUERIA;BOGOTA;;
1258;SUP. MAZUREN;SUPERMERCADO;;S037;Supermercado Mazuren
1555;FARM. COMFAMA PRADO;FARMACIA;;;
1286;TIENDA CALLE 67;TIENDA;;S063;Tienda Calle 67
1289;TIENDA 20 DE JULIO;TIENDA;;S067;Tienda 20 De Julio
1285;SUP. CALLE 116;SUPERMERCADO;;S062;Supermercado Calle 116
1290;SUP. CHIQUINQUIRA;SUPERMERCADO;;S068;Supermercado Chiquinquira
1291;TIENDA ZONA FRANCA;TIENDA;;S069;Tienda Zona Franca Fontibon
7008;SUP. TOMA EMPR. ELEC;TIENDA;;;
1557;FARM. CITY PLAZA;FARMACIA;;D291;
1567;FARM. SUESCA;FARMACIA;;D303;
1292;SUP. MESITAS;SUPERMERCADO;;S070;Supermercado Mesitas Del Colegio
1568;FARM. AVENIDA 15;FARMACIA;;D304;
1575;FARM. VANGUARDIA;FARMACIA;;;
1573;FARM. CC TINTAL;FARMACIA;;;
1574;FARM. AVENIDA CHILE;FARMACIA;;;
1552;FARM. CALLE 67;FARMACIA;;;
7009;FARM. CITY PLAZA ECOM;FARMACIA;;;
7010;FARM. PREMIUM ECOM;FARMACIA;;;
1570;FARM. LA CALERA;FARMACIA;;D306;
1583;FARM. NEPS RIONEGRO;FARMACIA;;;
1569;FARM. DIS. CENTRO IN;FARMACIA;;;
1571;FARM. SAN RAFAEL;FARMACIA;;;
1293;SUP. ESPINAL;SUPERMERCADO;;S071;Supermercado Espinal
1572;FARM. PALERMO;FARMACIA;;;
1515;FARM. RIONEGRO 1;FARMACIA;;D240;
1600;FARM. BIOMAX CAJICA;FARMACIA;;;
1601;FARM. BIOMAX PTE. A;FARMACIA;;;
1294;SUP. IPANEMA;SUPERMERCADO;;S072;Supermercado Ipanema
1579;FARM. SOGAMOSO;FARMACIA;;D315;
1597;FARM. DUITAMA;FARMACIA;;D340;
1592;FARM. HOME SENTR 127;FARMACIA;;;
1604;FARM. TUNJA;FARMACIA;;D347;
1599;FARM. CC. CARACAS;FARMACIA;;;
1296;SUP. ZIPAQUIRA;SUPERMERCADO;;S074;Supermercado Zipaquira
1578;FARM. CC. SANTAFE;FARMACIA;;;
1596;FARM. UNICENTRO NTE;FARMACIA;;;
1594;FARM. CENTRO MAYOR;FARMACIA;;;
1593;FARM. HOME SENTRY 68;FARMACIA;;;
1608;FARM. STA. TERESITA;FARMACIA;;;
1589;FARM. ITAGUI PLAZA;FARMACIA;;;
1591;FARM. PARQ. BOLIVAR;FARMACIA;;;
1605;FARM. COLINA 138;FARMACIA;;D348;
1609;FARM. NIQUIA;FARMACIA;;;
1577;FARM. ALMACENTRO III;FARMACIA;;;
1590;FARM. LLANO GRANDE;FARMACIA;;;
1295;SUP. MAIPORE;SUPERMERCADO;;S073;Supermercado Maipore
1595;FARM. CLINICA STA FE;FARMACIA;;;
1297;SUP. CIUDAD VERDE;SUPERMERCADO;;S075;Supermercado Ciudad Verde
1607;FARM. AV. PEPE SIERR;FARMACIA;;;
1610;FARM. MOL CARTAGENA;FARMACIA;;D354;
1298;SUP. GIRARDOT PENON;SUPERMERCADO;;S076;Supermercado Girardot El Peñon
1606;FARM. CALLE 60;FARMACIA;;D349;
1612;FARM. CC STA FE MEDE;FARMACIA;;;
1303;SUP. COOPTRAISS;SUPERMERCADO;;S081;Supermercado Cooptraiss
1611;FARM. CALIMA;FARMACIA;;;
1617;FARM. C.C. EL TESORO;FARMACIA;;D363;
1302;PIN. MAZUREN;TIENDA;;;
1624;FARM Clinica san Rafael;FARMACIA;;;
132;TIENDA ARTE MAZUREN;TIENDA;;;
1622;Drogueria Gran Plaza ;FARMACIA;;;
1619;Drogueria Floresta;FARMACIA;;D366;
1620;Farmacia Florida Nueva;FARMACIA;;;
1621;Farmacia Sau Paulo;FARMACIA;;D368;
1304;SUP. EL PORVENIR;SUPERMERCADO;;S082;Supermercado Porvenir
1558;FARM. PORTAL 80;FARMACIA;;;
1576;Administración regional Antioquia ;TIENDA;;;
1598;Ronda Real en Cartagena;FARMACIA;;;
1623;Farmacia Plaza 39;FARMACIA;;D370;
1626;Farmacia San Nicolás ;FARMACIA;;;
1627;Drogueria Central Mayorista ;FARMACIA;;;
1625;Drogueria Armenia Plaza Bolivar;FARMACIA;;D372;
1628;Farmacia Iwoka  Sogamoso;FARMACIA;;;
1630;DROGUERIA DIVER PLAZA;DROGUERIA;;D377;
1629;Drogueria Calima Armenia;FARMACIA;;;
1632;VIDA CENTRO PROFESIONAL;FARMACIA;;;
1631;Farmacia  Aeropuerto Int T2;FARMACIA;;;
1635;Farmacia Multicentro Manizales;FARMACIA;;D382;
1633;FARMACIA MELGAR;FARMACIA;;;
1647;Farmacia Barzal;FARMACIA;;D394;
1642;Farmacia Acacias;FARMACIA;;;
1639;Farmacia Yopal;FARMACIA;;;
1650;Farmacia Parque el Lago Pereira;FARMACIA;;;
1638;Farmacia Porto Azul;FARMACIA;;;
1618;Farmacia Plaza Cibeles;FARMACIA;;;
1637;Farmacia Unicentro Cali;FARMACIA;;;
1652;Farmacia Unicentro Medellin;FARMACIA;;;
1655;Farmacia Poblado Medellin;FARMACIA;;D402;
1636;Farmacia Ciudad Jardin Cali;FARMACIA;;;
1645;Farmacia Villa Country Barranquilla;FARMACIA;;D392;
1643;Farmacia Prado Norte Barranquilla;FARMACIA;;;
1653;Farmacia Supermaz Apartado;FARMACIA;;;
1640;Farmacia CC Arrecifes Santa Marta;FARMACIA;;;
1658;Farmacia CC lasOlas Santa Marta;FARMACIA;;D405;
1663;Farmacia Sector Clinica Shaio;FARMACIA;;D410;
1657;Farmacia CC.La Libertad;FARMACIA;;D404;
1659;Farmacia CC Allegro;FARMACIA;;;
1305;Tienda Carpa Temporadas;FARMACIA;;;
1651;Farmacia Monterey;FARMACIA;;D398;
1654;Farmacia Clinica Panamericana;FARMACIA;;;
1666;Farmacia Llano centro;FARMACIA;;;
1670;Farmacia CC.Palmetto;FARMACIA;;;
1660;Drogueria Clinica del Mar;FARMACIA;;;
1667;Drogueria D_AV_CIRCUNVALAR_PEREIRA;FARMACIA;;;
1668;Drogueria D_PEREIRA_PLAZA;FARMACIA;;;
1307;Supermercado Anapoima;SUPERMERCADO;;S086;Supermercado Anapoima
