JERARQUIA2,NOMBRE JERARQUIA2
28,OTC-SUPERMERCADOS
16,CUIDADO DEL HOGAR
2,BEBIDAS
8,PANADERIA
17,ARTICULOS DEL HOGAR
49,MUNDO SALUDABLE
10,DESPENSA PREMIUM
5,LACTEOS
3,CARNES FRIAS
4,DESPENSA
26,CUIDADO PERSONAL
7,PANADERIA COLSUBSIDIO
66,VESTUARIO JR Y KIDS MASCULINO
56,VESTUARIO CABALLEROS
31,CARNES BLANCAS
32,ELECTRODOMESTICOS
50,JUGUETERIA
19,NAVIDAD
39,MUEBLES/MODULARES 
64,VESTUARIO JR Y KIDS FEMENINO
58,VESTUARIO DAMAS
35,IMP. SUPERMERCADOS - ASEO PERSONAL
41,IMP. SUPERMERCADOS - ASEO HOGAR
74,PLATOS PREPARADOS
67,MARCA PROPIA
46,UTILES
24,BELLEZA
20,CUIDADO DE LAS MASCOTAS
78,MULTISERVICIOS
12,CARNES ROJAS
70,FERRETERIA
30,VERDURAS Y TUBERCULOS
29,FRUTAS / PULPAS / FLORES
15,INSTITUCIONALES
18,IMP. SUPERMERCADOS - DESPENSA
23,IMP. SUPERMERCADOS-MARROQUINERIA
40,LIBROS
54,VESTUARIO BEBES
38,PERIODICOS Y REVISTAS
47,IMP. SUPERMERCADOS - ARTICULOS DEL HOGAR
22,IMP. SUPERMERCADOS - JUGUETERIA
14,TABACO Y RELACIONADOS
48,BEBIDAS PREMIUM
33,TELEFONIA OPERADORES
37,SUBSIDIO ESCOLAR
76,ESPECIALIDADES PP
69,SUPER PRECIO
52,KIT ESCOLAR
36,EXPRESION SOCIAL
42,PAPELERIA
21,IMP. SUPERMERCADOS - NAVIDAD
27,IMP. SUPERMERCADOS - FERRETERIA
71,SERVICIOS RETAIL
34,ARTE
9,PANADERIA FRESCA
60,VESTUARIO KIDS MASCULINO
44,TEXTOS
65,RECAUDO PARA TERCEROS
62,VESTUARIO KIDS FEMENINO
51,CALZADO/ACCESORIOS/MARROQUINERIA
25,IMP. SUPERMERCADOS - ELECTRODOMESTICOS
53,BOLSAS SUPER-MERCADOS
73,ART NO VALORADOS
72,APROVECHAMIENTOS
